Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/14/2019,810,822.75,810,817.75,26.75,162,0
05/13/2019,790.25,791,780.5,791,-6,369,238
05/10/2019,800.25,804,795.25,797,-3.25,712,580
05/09/2019,810,810.5,795.25,800.25,-14,680,708
05/08/2019,819.25,820.25,812.75,814.25,-3.5,1990,1207
05/07/2019,815,821.75,815,817.75,0.25,2555,1482
05/06/2019,816.5,819.75,804.5,817.5,-12,2686,1797
05/03/2019,830.5,834.75,828.75,829.5,-1,3485,2254
05/02/2019,840,840.5,829.75,830.5,-9,5556,3532
05/01/2019,841,843,831.75,839.5,-1.75,9763,3961
04/30/2019,848,851.25,838.5,841.25,-6.25,11508,7179
04/29/2019,854.75,859.5,847.25,847.5,-6.25,81581,10907
04/26/2019,858.5,859.75,852.5,853.75,-5.5,142904,40784
04/25/2019,854.75,862.75,853.5,859.25,4,124152,121731
04/24/2019,862,865.25,854.5,855.25,-6.75,87642,147431
04/23/2019,877,878.75,860.75,862,-15,168391,163418
04/22/2019,881.5,883.25,876.25,877,-3.5,80529,187834
04/18/2019,878.75,882,876.5,880.5,1.5,77262,205572
04/17/2019,887.75,890.5,878.5,879,-9,105530,214732
04/16/2019,898.25,899,886.25,888,-10.75,115185,219956
04/15/2019,895,902,894.75,898.75,3.5,105410,221960
04/12/2019,895,898.5,893.75,895.25,0,82118,232341
04/11/2019,901.25,904,893.5,895.25,-6.75,98642,242526
04/10/2019,898.75,903.75,897.25,902,3.25,110699,253700
04/09/2019,898.25,902.25,894.75,898.75,0,95488,267825
04/08/2019,899,903.5,898,898.75,-0.25,113476,271853
04/05/2019,904.5,904.75,896.25,899,-7.5,102769,279730
04/04/2019,898.25,907.25,897,906.5,7.75,112219,290693
04/03/2019,899.25,903,894.75,898.75,-1.25,63617,292826
04/02/2019,895.75,901.25,892.5,900,4.5,78593,294319
04/01/2019,884,899,883.75,895.5,11.25,116288,298239
03/29/2019,888.75,892.75,883,884.25,-5.25,96062,304002
03/28/2019,888,891.75,886.5,889.5,2,71399,302292
03/27/2019,900.25,900.75,886,887.5,-13.25,108413,305283
03/26/2019,905.5,907.5,899.5,900.75,-5.75,64159,298978
03/25/2019,904.5,908.25,901.5,906.5,2.75,62221,302431
03/22/2019,909.75,912,903,903.75,-6.75,91931,302580
03/21/2019,906,912,903.5,910.5,4.5,79287,305602
03/20/2019,902.75,906.5,899.25,906,2,73221,303333
03/19/2019,905.5,909.5,900.25,904,-1.75,78731,307193
03/18/2019,910,911.5,901.75,905.75,-3.5,68441,307752
03/15/2019,899.25,911,898.25,909.25,10.75,97847,310632
03/14/2019,901,906.25,895.5,898.5,-2.5,87983,315058
03/13/2019,896,903.25,892.25,901,4,80304,319320
03/12/2019,890,899.75,887.75,897,7,86133,325542
03/11/2019,898,899,889.5,890,-5.75,75764,326427
03/08/2019,900.75,904.5,892.25,895.75,-6.75,108751,324125
03/07/2019,902.75,907.5,898.25,902.5,0.5,116229,322222
03/06/2019,913.5,916.25,901,902,-11.75,88123,332968
03/05/2019,916.5,918.5,909,913.75,-2.25,73349,321898
03/04/2019,914.75,924.75,913,916,4.5,108723,319426
03/01/2019,909.5,918,900.5,911.5,1.25,133667,327548
02/28/2019,916,918.25,909.75,910.25,-6.5,84659,320956
02/27/2019,917,923.25,913.5,916.75,-0.25,125039,313491
02/26/2019,923,923.75,912.25,917,-8,138335,302840
02/25/2019,931.25,934.5,923.75,925,1.25,127998,284303
02/22/2019,923.5,928,920.75,923.75,-0.5,86074,274946
02/21/2019,916,930.25,913.5,924.25,8.25,145189,265211
02/20/2019,915.25,918.5,907,916,1.5,91582,258089
02/19/2019,921.25,925,908.75,914.5,-7,62673,253272
02/15/2019,919.75,923.75,915.5,921.5,3.75,76911,246147
02/14/2019,930,932.25,917,917.75,-13,55802,244919
02/13/2019,930.5,934.25,928,930.75,-1,51491,236035
02/12/2019,919.5,933.75,919.5,931.75,12.5,63771,225473
02/11/2019,929,932.75,917.75,919.25,-9.5,56973,217480
02/08/2019,927,932,922.25,928.75,1.5,77795,210038
02/07/2019,933.5,935.5,924.75,927.25,-8.5,69292,199958
02/06/2019,933.5,936.5,931.25,935.75,1.5,65416,193931
02/05/2019,931.75,934.75,927.5,934.25,1.75,46254,189517
02/04/2019,930.75,937.5,929.5,932.5,1,38539,181754
02/01/2019,935.5,945,931,931.5,2.25,64913,170565
01/31/2019,933.5,940.5,927.5,929.25,-5.75,30380,165033
01/30/2019,932.5,937.75,931.25,935,2.25,21107,164265
01/29/2019,935.25,936,930.5,932.75,-4.25,34275,162670
01/28/2019,937,938.5,929.5,937,-2,20053,158588
01/25/2019,929.25,939.75,926.75,939,9.25,39543,156730
01/24/2019,928.75,932.75,923,929.75,1,25963,154456
01/23/2019,924.5,931.75,924,928.75,6,17220,154114
01/22/2019,930,932.75,913.5,922.75,-7.25,36337,154980
01/18/2019,921.5,933.5,919.5,930,9,26098,149826
01/17/2019,908.75,925.25,908,921,13,28891,150561
01/16/2019,909,913.5,904.75,908,1.25,22841,147471
01/15/2019,918,921.5,906.25,906.75,-10.5,33517,146777
01/14/2019,923.25,924.5,915.25,917.25,-6.5,29044,145672
01/11/2019,920.25,925.75,920.25,923.75,3.5,40622,146786
01/10/2019,936,937.5,919.25,920.25,-17,29329,138568
01/09/2019,931.5,939.5,930.5,937.25,5.5,44554,135754
01/08/2019,936,938.75,927.75,931.75,-5.25,37695,132991
01/07/2019,933.75,941.25,933.5,937,2.5,20483,132652
01/04/2019,923.25,935.25,923,934.5,9,27855,133309
01/03/2019,919,926,916.75,925.5,6,26268,133096
01/02/2019,907,922.75,906,919.5,11.75,27871,132205
12/31/2018,911.75,914.5,904.75,907.75,-0.5,16730,132627
12/28/2018,897,912.5,896.25,908.25,12.75,27249,131868
12/27/2018,897,902,893.5,895.5,-0.75,20133,131434
12/26/2018,910.75,914.25,895.75,896.25,-13.5,19126,126528
12/24/2018,909,912.25,904.75,909.75,-0.75,11366,125016
12/21/2018,917.75,920.75,909,910.5,-8.75,30823,123882
12/20/2018,925,930.75,919,919.25,-6.5,25500,123390
12/19/2018,932.75,935.75,925,925.75,-8.25,27108,123018
12/18/2018,929.25,938.25,929.25,934,2.5,21212,124279
12/17/2018,926.75,935.5,926.75,931.5,4.5,16126,122911
12/14/2018,933.5,936,926.25,927,-6.25,26009,118839
12/13/2018,944.75,945.5,931,933.25,-12.5,22062,113794
12/12/2018,941.5,953,941.25,945.75,4.75,25638,114203
12/11/2018,933.5,942.75,931.75,941,5.5,16390,114686
12/10/2018,937,941.25,934.25,935.5,-6.25,14588,114788
12/07/2018,935,942.5,932.25,941.75,7.25,28866,116088
12/06/2018,935.5,937,922.75,934.5,-3.75,19333,113471
12/05/2018,935.25,941.25,933.5,938.25,1.25,16109,113130
12/04/2018,928.75,937.5,925,937,6.25,15804,114639
12/03/2018,940,948,929.5,930.75,10.25,37503,112305
11/30/2018,913.75,922.25,913,920.5,6.75,14611,112506
11/29/2018,916.5,920.75,909.5,913.75,-3.75,19572,113287
11/28/2018,903.25,921.25,901.25,917.5,14.75,18865,112968
11/27/2018,889.5,907.25,885.75,902.75,13,13438,112786
11/26/2018,907.5,909.75,884.75,889.75,-18.25,16622,111627
11/23/2018,907.75,911,906.75,908,-1.75,5595,109380
11/21/2018,908.75,915.75,903,909.75,2,11787,108687
11/20/2018,901,912.5,897.75,907.75,7,8581,108271
11/19/2018,918,918.5,898.25,900.75,-18,9913,108362
11/16/2018,916,921,908.5,918.75,3.25,18570,108338
11/15/2018,910,923.75,910,915.5,5.25,12642,107486
11/14/2018,905.75,913.5,905.75,910.25,5.25,9348,108247
11/13/2018,908.5,917.25,903.75,905,-5,16751,108279
11/12/2018,912,914,906.25,910,-3.25,11247,108757
11/09/2018,904.75,915,900.5,913.25,8,18884,109187
11/08/2018,905,910.25,890.5,905.25,-0.25,24650,109062
11/07/2018,909,913.5,902.5,905.5,-4.25,18269,107497
11/06/2018,909.75,914.75,904.25,909.75,-1.75,11789,108519
11/05/2018,914.25,918.25,907.25,911.5,-2,10681,108407
11/02/2018,906.25,925.25,904.5,913.5,5.75,17757,108233
11/01/2018,876.75,913.75,873,907.75,29,33892,109357
10/31/2018,873.25,881.75,871.5,878.75,4.5,20873,111422
