Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/14/2004,913.25,913.25,862.5,862.5,-48.5,0,0
07/13/2004,924,924,911,911,-26,2557,857
07/12/2004,954.75,955,937,937,-17,2957,2119
07/09/2004,976,979,954,954,-18.5,2938,3165
07/08/2004,967.5,972.5,960.25,972.5,11,4075,4670
07/07/2004,980,990,961.5,961.5,-18,8722,6021
07/06/2004,942.75,979.5,935.75,979.5,40,8825,8880
07/02/2004,934.25,948,934,939.5,6,6539,12502
07/01/2004,892,933.5,892,933.5,40.5,10280,14382
06/30/2004,894,895,887.75,893,-1.5,17796,17465
06/29/2004,895,899.5,892,894.5,9.5,18786,22366
06/28/2004,911,918,885,885,-35.5,21908,28443
06/25/2004,919.25,923.5,913.75,920.5,-1,22663,36270
06/24/2004,920,927.75,918.75,921.5,4,28204,49501
06/23/2004,890,917.5,887,917.5,30.5,24489,52942
06/22/2004,891.5,893,887,887,-1.5,19956,56122
06/21/2004,871.75,888.5,865,888.5,16.5,22005,58391
06/18/2004,863,872,851,872,9,20016,62368
06/17/2004,872,879.75,863,863,-6.5,42120,65213
06/16/2004,882,883.5,869.5,869.5,-14.5,43896,68597
06/15/2004,873,884,871.25,884,11.5,39622,72999
06/14/2004,853,872.5,844,872.5,25.5,47262,84620
06/10/2004,852.5,855,847,847,-5,797,85210
06/09/2004,851.25,855.5,848.5,852,0,33832,89066
06/08/2004,846,854,842.75,852,3,44429,91663
06/07/2004,826.75,849,816,849,10.5,50633,92663
06/04/2004,807.75,838.5,800.75,838.5,32.5,41652,94550
06/03/2004,843.75,844.25,806,806,-43.5,47776,96964
06/02/2004,869,876,849.5,849.5,-14.5,44430,98325
06/01/2004,828,864,828,864,50,24063,100006
05/28/2004,817.5,826,812,814,-8,35182,101620
05/27/2004,870.5,871.5,822,822,-50,52563,104190
05/26/2004,885,892,872,872,-10.25,44147,105583
05/25/2004,863.75,882.25,863.75,882.25,16.25,42548,107273
05/24/2004,882.5,883,866,866,-6.5,36928,108072
05/21/2004,866.75,872.5,860,872.5,3.5,44569,108191
05/20/2004,913,913,869,869,-38.5,55195,110614
05/19/2004,873,907.5,871,907.5,33.5,61408,113480
05/18/2004,905.5,915.75,874,874,-31.5,67255,118788
05/17/2004,924.5,925,904,905.5,-27,65060,122859
05/14/2004,982,986,932.5,932.5,-50,62501,126107
05/13/2004,973.5,982.5,970.5,982.5,10.25,57055,130714
05/12/2004,1023.75,1025.75,972.25,972.25,-50,90888,135682
05/11/2004,1014,1022.25,1012.5,1022.25,9.75,31322,134194
05/10/2004,1029,1030.5,1012.5,1012.5,-19,54779,133260
05/07/2004,999.25,1031.5,995.75,1031.5,31,61528,136741
05/06/2004,1018,1019.5,1000.5,1000.5,-19.5,47495,133061
05/05/2004,1020.75,1024.25,1019.5,1020,-1.5,38834,134208
05/04/2004,1018.5,1021.5,1016.5,1021.5,0.5,44836,135184
05/03/2004,1016.25,1021,1006,1021,8,45326,133996
04/30/2004,1002,1013,998,1013,13,59560,134002
04/29/2004,981.25,1000,979,1000,20,59219,131565
04/28/2004,994,998.25,980,980,-14.5,63098,125764
04/27/2004,958,994.5,956,994.5,36.5,64377,123565
04/26/2004,962.25,962.25,955,958,-3,43693,117217
04/23/2004,945.25,961,936,961,21,50543,113284
04/22/2004,935.75,940,930.75,940,6.5,52882,112373
04/21/2004,948.5,948.5,933.5,933.5,-15.5,67127,108930
04/20/2004,965.25,966.25,949,949,-16.5,50113,105966
04/19/2004,972,974,957.5,965.5,-0.5,39231,100631
04/16/2004,957,966,948.75,966,1.5,60952,100466
04/15/2004,1015,1029,964.5,964.5,-50,65149,97723
04/14/2004,973.25,1014.5,972,1014.5,43,52762,97425
04/13/2004,965,971.5,961.5,971.5,4.5,51199,91068
04/12/2004,990.25,992,967,967,-22,38335,84735
04/08/2004,1019,1020.5,989,989,-29,37538,83783
04/07/2004,1011.75,1020.25,1011.5,1018,11.5,22394,76852
04/06/2004,1022,1024,1006.5,1006.5,-16.5,27237,74264
04/05/2004,1047,1054.25,1023,1023,-20.75,27696,72494
04/02/2004,1029.5,1043.75,1028,1043.75,16.5,24620,69463
04/01/2004,993,1027.25,993,1027.25,32.25,27127,64930
03/31/2004,1007,1008,995,995,-13,28772,62519
03/30/2004,1005.25,1008,1003.5,1008,4.25,13980,61489
03/29/2004,1004.75,1013,1001,1003.75,0.75,13295,60021
03/26/2004,1020.25,1025,1003,1003,-13.75,18435,59134
03/25/2004,1017.5,1024.25,1016.75,1016.75,-0.25,23018,57060
03/24/2004,1049.25,1059,1017,1017,-29.75,23780,57412
03/23/2004,1050,1050,1037.25,1046.75,-4,17695,57598
03/22/2004,1029.75,1050.75,1029.75,1050.75,33.75,19541,58028
03/19/2004,1010.5,1017,1004,1017,8,21968,57774
03/18/2004,986,1009,985.5,1009,25.5,20687,56974
03/17/2004,979,984,968,983.5,4.75,14127,56258
03/16/2004,967.5,978.75,967.5,978.75,12.5,19932,55535
03/15/2004,939.25,966.25,939,966.25,24.75,12934,54973
